Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Haikyuu!! Second Season,8.67,51,84,"Comedy, Sports, Drama, School, Shounen",25,"Oct 4, 2015","Mar 27, 2016","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,25,113,"Comedy, Sports, Drama, School, Shounen",10,"Oct 8, 2016","Dec 10, 2016","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Haikyuu!!: To the Top,8.36,177,215,"Comedy, Sports, Drama, School, Shounen",13,"Jan 11, 2020","Apr 4, 2020","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Hataraku Maou-sama!,7.80,849,64,"Comedy, Demons, Supernatural, Romance, Fantasy",13,"Apr 4, 2013","Jun 27, 2013","Sotsu, Lantis, Pony Canyon, Magic Capsule, Infinite",White Fox
Hataraku Saibou (TV),7.59,1341,297,"Comedy, Shounen",13,"Jul 8, 2018","Sep 30, 2018","Aniplex, Kodansha, Magic Capsule",David Production
Hige wo Soru. Soshite Joshikousei wo Hirou.,7.36,2103,384,"Drama, Romance",13,"Apr 5, 2021","Jun 28, 2021","Pony Canyon, Magic Capsule, Dream Shift",Project No.9
Horimiya,8.22,291,152,"Slice of Life, Comedy, Romance, School, Shounen",13,"Jan 10, 2021","Apr 4, 2021","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Kanetsu Investment, My Theater D.D., Global Solutions, Mirai-Kojo",CloverWorks
Hotaru no Haka,8.51,104,304,"Drama, Historical",1,"Apr 16, 1988",?,"None found, add some",Studio Ghibli
Hotarubi no Mori e,8.34,191,200,"Drama, Romance, Shoujo, Supernatural",1,"Sep 17, 2011",?,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, DAX Production",Brain's Base
Hyouka,8.12,401,83,"Mystery, School, Slice of Life",22,"Apr 23, 2012","Sep 17, 2012","Lantis, Kadokawa Shoten, KlockWorx, chara-ani.com, Animation Do",Kyoto Animation
Inuyashiki,7.67,1129,316,"Action, Drama, Psychological, Sci-Fi, Seinen",11,"Oct 13, 2017","Dec 22, 2017","Aniplex, Dentsu, Kodansha, Fuji TV, DMM pictures",MAPPA
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,6.93,4018,276,"Comedy, Ecchi, Fantasy, Harem, Magic",12,"Jul 5, 2018","Sep 20, 2018","Sotsu, Kodansha, Half H.P Studio, AT-X, KlockWorx, DIVE II Entertainment, 81 Produce, Tokyo MX, Avex Pictures, Q-Tec, Animatic, Eswood",Ajia-Do
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,6.93,4018,276,"Comedy, Ecchi, Fantasy, Harem, Magic",12,"Jul 5, 2018","Sep 20, 2018","Sotsu, Kodansha, Half H.P Studio, AT-X, KlockWorx, DIVE II Entertainment, 81 Produce, Tokyo MX, Avex Pictures, Q-Tec, Animatic, Eswood",Ajia-Do
Isekai Quartet,7.42,1876,519,"Comedy, Fantasy, Parody",12,"Apr 10, 2019","Jun 26, 2019",Kadokawa,Studio PuYUKAI
Isekai Shokudou,7.35,2174,994,"Slice of Life, Fantasy",12,"Jul 4, 2017","Sep 19, 2017","TV Tokyo, Sotsu, flying DOG, Nikkatsu, Avex Pictures, Dai Nippon Printing, Shufunotomo",SILVER LINK.
Isekai wa Smartphone to Tomo ni.,6.19,7664,390,"Adventure, Harem, Comedy, Magic, Romance, Fantasy",12,"Jul 11, 2017","Sep 26, 2017","Sotsu, MediaNet, Pony Canyon, AT-X, Asmik Ace, Hobby Japan, 81 Produce, Tokyo MX, Exit Tunes",Production Reed
Isshuukan Friends.,7.55,1461,612,"Slice of Life, Comedy, School, Shounen",12,"Apr 7, 2014","Jun 23, 2014","Nihon Ad Systems, Pony Canyon, DAX Production, TOHO animation",Brain's Base
